ip,app,device,os,channel,click_time,is_attributed,click_date,click_hour,click_dow
27389,4,1,8,101,2017-11-08 02:16:11 UTC,0,2017-11-08,2,Wed
75634,4,1,47,101,2017-11-08 02:18:48 UTC,0,2017-11-08,2,Wed
123977,4,1,37,101,2017-11-08 02:29:06 UTC,0,2017-11-08,2,Wed
97744,4,1,17,101,2017-11-08 02:37:04 UTC,0,2017-11-08,2,Wed
77107,1,1,19,101,2017-11-08 02:57:21 UTC,0,2017-11-08,2,Wed
48282,7,1,5,101,2017-11-08 05:03:46 UTC,0,2017-11-08,5,Wed
5348,7,1,43,101,2017-11-08 05:39:44 UTC,0,2017-11-08,5,Wed
114678,7,59,6,101,2017-11-08 05:53:37 UTC,0,2017-11-08,5,Wed
84634,7,1,13,101,2017-11-08 09:56:15 UTC,0,2017-11-08,9,Wed
78943,6,1,18,101,2017-11-08 10:27:02 UTC,0,2017-11-08,10,Wed
93003,7,1,13,101,2017-11-08 10:27:12 UTC,0,2017-11-08,10,Wed
96083,6,1,22,101,2017-11-08 10:58:39 UTC,0,2017-11-08,10,Wed
38959,72,1,18,101,2017-11-08 11:24:52 UTC,1,2017-11-08,11,Wed
262704,7,2,35,101,2017-11-08 11:55:54 UTC,0,2017-11-08,11,Wed
54065,29,1,19,101,2017-11-08 12:12:52 UTC,0,2017-11-08,12,Wed
183647,7,1,13,101,2017-11-08 16:02:28 UTC,0,2017-11-08,16,Wed
360796,72,1,22,101,2017-11-08 23:30:10 UTC,1,2017-11-08,23,Wed
80219,7,1,18,101,2017-11-09 02:35:53 UTC,0,2017-11-09,2,Thu
11039,7,1,18,101,2017-11-09 03:31:06 UTC,0,2017-11-09,3,Thu
98781,7,1,19,101,2017-11-09 03:31:46 UTC,0,2017-11-09,3,Thu
1091,7,1,37,101,2017-11-09 03:36:18 UTC,0,2017-11-09,3,Thu
77809,7,1,19,101,2017-11-09 03:53:30 UTC,0,2017-11-09,3,Thu
115681,7,1,13,101,2017-11-09 04:21:17 UTC,0,2017-11-09,4,Thu
4754,7,1,18,101,2017-11-09 04:34:51 UTC,0,2017-11-09,4,Thu
5178,7,1,26,101,2017-11-09 04:37:27 UTC,0,2017-11-09,4,Thu
119349,7,1,41,101,2017-11-09 05:07:04 UTC,0,2017-11-09,5,Thu
50924,7,1,13,101,2017-11-09 05:23:23 UTC,0,2017-11-09,5,Thu
110172,7,1,19,101,2017-11-09 05:36:02 UTC,0,2017-11-09,5,Thu
29346,7,1,19,101,2017-11-09 05:40:12 UTC,0,2017-11-09,5,Thu
95434,7,1,19,101,2017-11-09 05:57:20 UTC,0,2017-11-09,5,Thu
204788,7,1,13,101,2017-11-09 06:05:57 UTC,0,2017-11-09,6,Thu
33691,7,1,8,101,2017-11-09 06:06:41 UTC,0,2017-11-09,6,Thu
351763,7,1,13,101,2017-11-09 06:09:52 UTC,0,2017-11-09,6,Thu
19403,7,1,19,101,2017-11-09 06:10:58 UTC,0,2017-11-09,6,Thu
125362,7,1,19,101,2017-11-09 06:11:16 UTC,0,2017-11-09,6,Thu
59125,7,1,13,101,2017-11-09 06:12:54 UTC,0,2017-11-09,6,Thu
114220,7,1,27,101,2017-11-09 06:20:53 UTC,0,2017-11-09,6,Thu
67494,7,1,14,101,2017-11-09 06:22:46 UTC,0,2017-11-09,6,Thu
64615,7,1,13,101,2017-11-09 06:23:08 UTC,0,2017-11-09,6,Thu
23674,7,1,22,101,2017-11-09 06:23:28 UTC,0,2017-11-09,6,Thu
106493,7,1,15,101,2017-11-09 06:34:41 UTC,0,2017-11-09,6,Thu
287355,7,1,31,101,2017-11-09 06:34:50 UTC,0,2017-11-09,6,Thu
17137,7,1,1,101,2017-11-09 06:42:17 UTC,0,2017-11-09,6,Thu
106279,7,1,13,101,2017-11-09 06:48:27 UTC,0,2017-11-09,6,Thu
106034,7,1,37,101,2017-11-09 06:49:44 UTC,0,2017-11-09,6,Thu
124041,7,1,19,101,2017-11-09 06:50:09 UTC,0,2017-11-09,6,Thu
1810,7,1,13,101,2017-11-09 06:52:00 UTC,0,2017-11-09,6,Thu
301829,7,1,23,101,2017-11-09 06:56:16 UTC,0,2017-11-09,6,Thu
89458,7,1,19,101,2017-11-09 07:19:38 UTC,0,2017-11-09,7,Thu
32391,7,1,19,101,2017-11-09 07:27:37 UTC,0,2017-11-09,7,Thu
292112,7,3866,866,101,2017-11-09 07:36:03 UTC,0,2017-11-09,7,Thu
56246,7,2,10,101,2017-11-09 07:52:10 UTC,0,2017-11-09,7,Thu
114446,7,1,28,101,2017-11-09 08:13:06 UTC,0,2017-11-09,8,Thu
100543,7,1,13,101,2017-11-09 08:15:24 UTC,0,2017-11-09,8,Thu
80048,7,1,6,101,2017-11-09 08:15:53 UTC,0,2017-11-09,8,Thu
48240,7,1,19,101,2017-11-09 08:21:05 UTC,0,2017-11-09,8,Thu
66258,7,1,13,101,2017-11-09 08:35:26 UTC,0,2017-11-09,8,Thu
80743,4,1,19,101,2017-11-09 08:47:08 UTC,0,2017-11-09,8,Thu
17899,72,1,13,101,2017-11-09 09:10:42 UTC,0,2017-11-09,9,Thu
71071,7,1,6,101,2017-11-09 09:15:33 UTC,0,2017-11-09,9,Thu
35984,7,1,1,101,2017-11-09 09:21:50 UTC,0,2017-11-09,9,Thu
109463,7,1,19,101,2017-11-09 09:31:33 UTC,0,2017-11-09,9,Thu
97444,7,1,13,101,2017-11-09 09:37:17 UTC,0,2017-11-09,9,Thu
20362,7,1,27,101,2017-11-09 10:41:10 UTC,0,2017-11-09,10,Thu
5729,7,1,25,101,2017-11-09 10:44:05 UTC,0,2017-11-09,10,Thu
7962,7,1,22,101,2017-11-09 10:45:24 UTC,0,2017-11-09,10,Thu
93320,7,1,35,101,2017-11-09 11:13:54 UTC,0,2017-11-09,11,Thu
105475,7,1,9,101,2017-11-09 11:22:23 UTC,0,2017-11-09,11,Thu
325602,4,1,13,101,2017-11-09 12:09:24 UTC,0,2017-11-09,12,Thu
93226,7,1,19,101,2017-11-09 12:13:09 UTC,0,2017-11-09,12,Thu
48240,7,1,17,101,2017-11-09 12:48:08 UTC,0,2017-11-09,12,Thu
97073,7,1,18,101,2017-11-09 12:53:39 UTC,0,2017-11-09,12,Thu
112302,7,1,35,101,2017-11-09 12:54:07 UTC,0,2017-11-09,12,Thu
71808,1,1,22,101,2017-11-09 13:13:44 UTC,0,2017-11-09,13,Thu
347595,72,1,27,101,2017-11-09 13:20:47 UTC,0,2017-11-09,13,Thu
85625,4,1,18,101,2017-11-09 13:28:33 UTC,0,2017-11-09,13,Thu
119349,7,1,47,101,2017-11-09 13:31:58 UTC,0,2017-11-09,13,Thu
322335,7,1,1,101,2017-11-09 14:02:27 UTC,0,2017-11-09,14,Thu
48282,7,1,42,101,2017-11-09 14:09:28 UTC,0,2017-11-09,14,Thu
339238,7,1,20,101,2017-11-09 14:33:12 UTC,0,2017-11-09,14,Thu
24876,7,1,15,101,2017-11-09 14:36:00 UTC,0,2017-11-09,14,Thu
81456,7,1,8,101,2017-11-09 14:54:43 UTC,0,2017-11-09,14,Thu
81685,4,1,19,101,2017-11-09 15:20:42 UTC,0,2017-11-09,15,Thu
171690,7,1,49,101,2017-11-09 15:27:39 UTC,0,2017-11-09,15,Thu
105475,7,1,3,101,2017-11-09 15:43:42 UTC,0,2017-11-09,15,Thu
85644,24,2,19,105,2017-11-06 16:06:36 UTC,0,2017-11-06,16,Mon
49652,24,2,5,105,2017-11-06 16:48:37 UTC,0,2017-11-06,16,Mon
102435,24,1,8,105,2017-11-06 17:12:14 UTC,0,2017-11-06,17,Mon
55830,24,1,19,105,2017-11-06 18:31:15 UTC,0,2017-11-06,18,Mon
67439,24,2,19,105,2017-11-06 21:37:16 UTC,0,2017-11-06,21,Mon
156058,24,1,13,105,2017-11-07 00:43:34 UTC,0,2017-11-07,0,Tue
202016,12,1,12,105,2017-11-07 01:08:12 UTC,0,2017-11-07,1,Tue
62916,24,1,15,105,2017-11-07 01:11:20 UTC,0,2017-11-07,1,Tue
92823,24,1,13,105,2017-11-07 01:47:33 UTC,0,2017-11-07,1,Tue
123948,24,1,12,105,2017-11-07 02:51:32 UTC,0,2017-11-07,2,Tue
135983,24,1,17,105,2017-11-07 03:20:15 UTC,0,2017-11-07,3,Tue
47132,24,1,42,105,2017-11-07 03:48:04 UTC,0,2017-11-07,3,Tue
139605,24,2,10,105,2017-11-07 05:06:28 UTC,0,2017-11-07,5,Tue
55397,24,1,22,105,2017-11-07 05:15:04 UTC,0,2017-11-07,5,Tue
74257,24,2,10,105,2017-11-07 07:49:55 UTC,0,2017-11-07,7,Tue
86767,12,1,37,105,2017-11-07 07:54:46 UTC,0,2017-11-07,7,Tue
129623,24,1,19,105,2017-11-07 08:28:50 UTC,0,2017-11-07,8,Tue
210912,24,1,13,105,2017-11-07 09:01:49 UTC,0,2017-11-07,9,Tue
66437,24,1,8,105,2017-11-07 09:29:47 UTC,0,2017-11-07,9,Tue
58672,12,1,17,105,2017-11-07 09:33:53 UTC,0,2017-11-07,9,Tue
4052,24,2,36,105,2017-11-07 09:58:35 UTC,0,2017-11-07,9,Tue
75595,24,1,19,105,2017-11-07 10:50:06 UTC,0,2017-11-07,10,Tue
194354,12,1,13,105,2017-11-07 12:15:47 UTC,0,2017-11-07,12,Tue
189805,12,1,23,105,2017-11-07 12:30:07 UTC,0,2017-11-07,12,Tue
164865,24,1,10,105,2017-11-07 12:32:38 UTC,0,2017-11-07,12,Tue
85188,24,1,19,105,2017-11-07 12:44:08 UTC,0,2017-11-07,12,Tue
156240,24,1,16,105,2017-11-07 13:23:32 UTC,0,2017-11-07,13,Tue
152323,24,1,19,105,2017-11-07 14:05:23 UTC,0,2017-11-07,14,Tue
92227,12,1,13,105,2017-11-07 14:29:33 UTC,0,2017-11-07,14,Tue
48646,24,1,17,105,2017-11-07 14:29:34 UTC,0,2017-11-07,14,Tue
204285,24,1,8,105,2017-11-07 14:40:17 UTC,0,2017-11-07,14,Tue
39698,24,1,8,105,2017-11-07 15:08:12 UTC,0,2017-11-07,15,Tue
121039,24,1,19,105,2017-11-07 16:43:52 UTC,0,2017-11-07,16,Tue
114620,24,1,17,105,2017-11-07 17:22:01 UTC,0,2017-11-07,17,Tue
10328,12,1,6,105,2017-11-07 21:08:31 UTC,0,2017-11-07,21,Tue
141094,24,1,11,105,2017-11-07 22:39:55 UTC,0,2017-11-07,22,Tue
85192,24,2,19,105,2017-11-07 22:57:09 UTC,0,2017-11-07,22,Tue
44494,12,1,13,105,2017-11-08 01:23:31 UTC,0,2017-11-08,1,Wed
80466,24,1,13,105,2017-11-08 02:03:25 UTC,0,2017-11-08,2,Wed
285450,24,1,13,105,2017-11-08 02:09:55 UTC,0,2017-11-08,2,Wed
69173,12,1,4,105,2017-11-08 02:23:20 UTC,0,2017-11-08,2,Wed
10826,24,1,17,105,2017-11-08 03:05:10 UTC,0,2017-11-08,3,Wed
21845,24,1,19,105,2017-11-08 04:10:44 UTC,0,2017-11-08,4,Wed
148472,12,1,8,105,2017-11-08 07:00:43 UTC,0,2017-11-08,7,Wed
7471,24,1,19,105,2017-11-08 08:57:55 UTC,0,2017-11-08,8,Wed
251954,24,1,23,105,2017-11-08 09:34:50 UTC,0,2017-11-08,9,Wed
81419,12,2,13,105,2017-11-08 10:43:48 UTC,0,2017-11-08,10,Wed
6396,24,1,19,105,2017-11-08 11:31:47 UTC,0,2017-11-08,11,Wed
85120,24,1,19,105,2017-11-08 14:15:50 UTC,0,2017-11-08,14,Wed
39782,24,1,58,105,2017-11-08 15:04:53 UTC,0,2017-11-08,15,Wed
73487,24,2,20,105,2017-11-08 15:32:43 UTC,0,2017-11-08,15,Wed
12948,24,1,47,105,2017-11-08 15:53:02 UTC,0,2017-11-08,15,Wed
58838,24,1,13,105,2017-11-08 18:46:01 UTC,0,2017-11-08,18,Wed
