ip,app,device,os,channel,click_time,is_attributed,click_datetime,click_date,click_hour,click_dow
95962,3,1,41,409,2017-11-08 19:37:22,0,11/8/2017 19:37:22,2017-11-08,19,Wed
24278,15,1,19,430,2017-11-07 6:41:57,0,11/7/2017 6:41:57,2017-11-07,6,Tue
107513,22,1,13,496,2017-11-07 8:04:53,0,11/7/2017 8:04:53,2017-11-07,8,Tue
109537,26,1,19,266,2017-11-07 5:49:11,0,11/7/2017 5:49:11,2017-11-07,5,Tue
107954,9,1,70,234,2017-11-06 16:54:21,0,11/6/2017 16:54:21,2017-11-06,16,Mon
5314,3,1,6,424,2017-11-09 0:57:56,0,11/9/2017 0:57:56,2017-11-09,0,Thu
89680,9,1,34,244,2017-11-07 3:20:35,0,11/7/2017 3:20:35,2017-11-07,3,Tue
176923,3,1,19,205,2017-11-07 0:37:21,0,11/7/2017 0:37:21,2017-11-07,0,Tue
73487,12,1,12,326,2017-11-08 5:21:43,0,11/8/2017 5:21:43,2017-11-08,5,Wed
5314,2,1,2,477,2017-11-09 0:14:56,0,11/9/2017 0:14:56,2017-11-09,0,Thu
97773,12,1,25,140,2017-11-09 8:07:01,0,11/9/2017 8:07:01,2017-11-09,8,Thu
112291,15,1,13,412,2017-11-07 1:45:21,0,11/7/2017 1:45:21,2017-11-07,1,Tue
74013,18,1,19,121,2017-11-09 12:59:53,0,11/9/2017 12:59:53,2017-11-09,12,Thu
45275,2,1,13,469,2017-11-08 7:50:57,0,11/8/2017 7:50:57,2017-11-08,7,Wed
83659,15,1,19,278,2017-11-07 4:11:17,0,11/7/2017 4:11:17,2017-11-07,4,Tue
12505,2,1,19,205,2017-11-07 2:45:04,0,11/7/2017 2:45:04,2017-11-07,2,Tue
203175,2,1,19,435,2017-11-07 15:04:32,0,11/7/2017 15:04:32,2017-11-07,15,Tue
66033,18,1,18,107,2017-11-09 12:03:17,0,11/9/2017 12:03:17,2017-11-09,12,Thu
20215,12,2,17,409,2017-11-09 1:58:38,0,11/9/2017 1:58:38,2017-11-09,1,Thu
88295,14,1,6,439,2017-11-09 4:04:21,0,11/9/2017 4:04:21,2017-11-09,4,Thu
75885,8,1,10,145,2017-11-08 11:48:36,0,11/8/2017 11:48:36,2017-11-08,11,Wed
23035,9,1,13,445,2017-11-07 4:17:06,0,11/7/2017 4:17:06,2017-11-07,4,Tue
46677,9,1,19,107,2017-11-09 6:43:19,0,11/9/2017 6:43:19,2017-11-09,6,Thu
123596,1,1,2,153,2017-11-09 9:43:28,0,11/9/2017 9:43:28,2017-11-09,9,Thu
179026,18,1,13,107,2017-11-07 3:10:50,0,11/7/2017 3:10:50,2017-11-07,3,Tue
258385,11,1,19,137,2017-11-09 7:17:26,0,11/9/2017 7:17:26,2017-11-09,7,Thu
80140,12,1,27,145,2017-11-08 23:36:31,0,11/8/2017 23:36:31,2017-11-08,23,Wed
41725,9,1,19,466,2017-11-08 9:35:36,0,11/8/2017 9:35:36,2017-11-08,9,Wed
242240,15,1,13,480,2017-11-07 23:33:12,0,11/7/2017 23:33:12,2017-11-07,23,Tue
84916,12,1,13,259,2017-11-08 8:17:14,0,11/8/2017 8:17:14,2017-11-08,8,Wed
66767,1,1,13,17,2017-11-07 0:57:08,0,11/7/2017 0:57:08,2017-11-07,0,Tue
332563,9,1,19,334,2017-11-08 16:56:04,0,11/8/2017 16:56:04,2017-11-08,16,Wed
73516,9,2,13,453,2017-11-09 11:11:28,0,11/9/2017 11:11:28,2017-11-09,11,Thu
108103,2,1,13,477,2017-11-07 7:43:45,0,11/7/2017 7:43:45,2017-11-07,7,Tue
195332,25,1,15,259,2017-11-07 12:46:10,0,11/7/2017 12:46:10,2017-11-07,12,Tue
53418,2,1,12,377,2017-11-06 21:54:17,0,11/6/2017 21:54:17,2017-11-06,21,Mon
104512,9,1,10,258,2017-11-08 10:00:17,0,11/8/2017 10:00:17,2017-11-08,10,Wed
114276,9,1,19,442,2017-11-08 9:56:56,0,11/8/2017 9:56:56,2017-11-08,9,Wed
74816,27,1,13,153,2017-11-08 2:30:13,0,11/8/2017 2:30:13,2017-11-08,2,Wed
98521,15,1,16,315,2017-11-08 11:28:36,0,11/8/2017 11:28:36,2017-11-08,11,Wed
119930,2,1,19,219,2017-11-07 18:25:23,0,11/7/2017 18:25:23,2017-11-07,18,Tue
144687,21,1,19,128,2017-11-07 15:37:12,0,11/7/2017 15:37:12,2017-11-07,15,Tue
60348,9,1,13,445,2017-11-07 2:47:47,0,11/7/2017 2:47:47,2017-11-07,2,Tue
112302,7,1,35,101,2017-11-09 12:54:07,0,11/9/2017 12:54:07,2017-11-09,12,Thu
120883,15,1,8,430,2017-11-08 8:19:05,0,11/8/2017 8:19:05,2017-11-08,8,Wed
44744,3,1,13,421,2017-11-09 11:13:33,0,11/9/2017 11:13:33,2017-11-09,11,Thu
209929,25,1,13,259,2017-11-07 12:15:41,0,11/7/2017 12:15:41,2017-11-07,12,Tue
55569,1,1,13,150,2017-11-09 7:00:08,0,11/9/2017 7:00:08,2017-11-09,7,Thu
141432,9,1,19,334,2017-11-09 3:28:29,0,11/9/2017 3:28:29,2017-11-09,3,Thu
267177,2,1,13,219,2017-11-08 9:32:57,0,11/8/2017 9:32:57,2017-11-08,9,Wed
60083,3,1,9,424,2017-11-09 3:47:14,0,11/9/2017 3:47:14,2017-11-09,3,Thu
193346,18,1,18,107,2017-11-08 0:48:47,0,11/8/2017 0:48:47,2017-11-08,0,Wed
93021,12,1,19,265,2017-11-07 1:23:56,0,11/7/2017 1:23:56,2017-11-07,1,Tue
65253,13,2,9,400,2017-11-07 8:07:07,0,11/7/2017 8:07:07,2017-11-07,8,Tue
37752,18,1,28,439,2017-11-08 11:14:02,0,11/8/2017 11:14:02,2017-11-08,11,Wed
26927,9,1,13,134,2017-11-07 0:23:44,0,11/7/2017 0:23:44,2017-11-07,0,Tue
5185,9,1,32,466,2017-11-09 8:23:48,0,11/9/2017 8:23:48,2017-11-09,8,Thu
106294,55,1,13,453,2017-11-07 2:09:04,0,11/7/2017 2:09:04,2017-11-07,2,Tue
27090,3,1,15,442,2017-11-08 9:26:50,0,11/8/2017 9:26:50,2017-11-08,9,Wed
171274,26,1,15,266,2017-11-09 12:12:39,0,11/9/2017 12:12:39,2017-11-09,12,Thu
64609,14,1,17,463,2017-11-09 9:45:50,0,11/9/2017 9:45:50,2017-11-09,9,Thu
208347,15,1,13,111,2017-11-09 12:27:57,0,11/9/2017 12:27:57,2017-11-09,12,Thu
126786,15,1,53,245,2017-11-07 15:16:22,0,11/7/2017 15:16:22,2017-11-07,15,Tue
69503,12,1,19,265,2017-11-08 11:19:01,0,11/8/2017 11:19:01,2017-11-08,11,Wed
41025,14,1,17,489,2017-11-07 10:06:56,0,11/7/2017 10:06:56,2017-11-07,10,Tue
47168,12,1,14,265,2017-11-08 6:30:13,0,11/8/2017 6:30:13,2017-11-08,6,Wed
9844,9,2,18,258,2017-11-09 14:12:32,0,11/9/2017 14:12:32,2017-11-09,14,Thu
43243,12,1,18,328,2017-11-07 15:26:52,0,11/7/2017 15:26:52,2017-11-07,15,Tue
7304,3,1,19,135,2017-11-09 14:28:48,0,11/9/2017 14:28:48,2017-11-09,14,Thu
118903,28,1,4,135,2017-11-08 3:11:58,0,11/8/2017 3:11:58,2017-11-08,3,Wed
173678,29,1,13,343,2017-11-07 10:38:47,0,11/7/2017 10:38:47,2017-11-07,10,Tue
118647,26,1,18,266,2017-11-09 15:01:35,0,11/9/2017 15:01:35,2017-11-09,15,Thu
28089,12,1,14,178,2017-11-08 12:29:02,0,11/8/2017 12:29:02,2017-11-08,12,Wed
38233,18,1,19,107,2017-11-09 2:29:18,0,11/9/2017 2:29:18,2017-11-09,2,Thu
9849,15,1,19,315,2017-11-07 12:57:41,0,11/7/2017 12:57:41,2017-11-07,12,Tue
91536,2,2,6,205,2017-11-08 15:21:56,0,11/8/2017 15:21:56,2017-11-08,15,Wed
77112,2,1,17,236,2017-11-09 8:28:34,0,11/9/2017 8:28:34,2017-11-09,8,Thu
44926,18,1,19,134,2017-11-07 4:11:24,0,11/7/2017 4:11:24,2017-11-07,4,Tue
201786,12,1,13,497,2017-11-09 4:09:26,0,11/9/2017 4:09:26,2017-11-09,4,Thu
86231,11,1,14,481,2017-11-09 9:27:29,0,11/9/2017 9:27:29,2017-11-09,9,Thu
6395,3,1,13,379,2017-11-06 23:26:20,0,11/6/2017 23:26:20,2017-11-06,23,Mon
79851,12,1,19,328,2017-11-06 19:55:20,0,11/6/2017 19:55:20,2017-11-06,19,Mon
72936,151,0,76,347,2017-11-07 13:40:45,0,11/7/2017 13:40:45,2017-11-07,13,Tue
114379,25,1,8,259,2017-11-08 13:03:53,0,11/8/2017 13:03:53,2017-11-08,13,Wed
112880,18,1,19,107,2017-11-09 3:55:33,0,11/9/2017 3:55:33,2017-11-09,3,Thu
231915,13,1,17,400,2017-11-08 13:06:39,0,11/8/2017 13:06:39,2017-11-08,13,Wed
8292,9,1,22,334,2017-11-07 8:26:05,0,11/7/2017 8:26:05,2017-11-07,8,Tue
313388,3,1,13,280,2017-11-09 0:18:12,0,11/9/2017 0:18:12,2017-11-09,0,Thu
57191,23,1,19,153,2017-11-09 10:28:43,0,11/9/2017 10:28:43,2017-11-09,10,Thu
5314,12,1,17,497,2017-11-07 11:10:39,0,11/7/2017 11:10:39,2017-11-07,11,Tue
137652,3,1,19,115,2017-11-07 13:11:43,0,11/7/2017 13:11:43,2017-11-07,13,Tue
32937,18,1,6,107,2017-11-06 16:24:27,0,11/6/2017 16:24:27,2017-11-06,16,Mon
83306,14,1,19,467,2017-11-09 8:43:26,0,11/9/2017 8:43:26,2017-11-09,8,Thu
73839,3,1,22,480,2017-11-09 6:12:29,0,11/9/2017 6:12:29,2017-11-09,6,Thu
37628,15,1,13,245,2017-11-08 15:08:10,0,11/8/2017 15:08:10,2017-11-08,15,Wed
34947,12,1,19,265,2017-11-07 12:10:09,0,11/7/2017 12:10:09,2017-11-07,12,Tue
41369,12,1,25,178,2017-11-07 11:12:14,0,11/7/2017 11:12:14,2017-11-07,11,Tue
106385,3,1,13,280,2017-11-09 3:01:25,0,11/9/2017 3:01:25,2017-11-09,3,Thu
109634,28,1,6,135,2017-11-09 14:44:36,0,11/9/2017 14:44:36,2017-11-09,14,Thu
82050,12,1,13,328,2017-11-07 2:45:33,0,11/7/2017 2:45:33,2017-11-07,2,Tue
7645,3,1,19,280,2017-11-06 16:17:12,0,11/6/2017 16:17:12,2017-11-06,16,Mon
107594,64,1,18,459,2017-11-07 15:45:42,0,11/7/2017 15:45:42,2017-11-07,15,Tue
122777,3,1,58,424,2017-11-09 7:40:53,0,11/9/2017 7:40:53,2017-11-09,7,Thu
205644,18,1,13,107,2017-11-07 2:40:35,0,11/7/2017 2:40:35,2017-11-07,2,Tue
138245,25,1,25,259,2017-11-07 11:46:43,0,11/7/2017 11:46:43,2017-11-07,11,Tue
118229,12,2,2,265,2017-11-09 14:02:06,0,11/9/2017 14:02:06,2017-11-09,14,Thu
114904,2,1,19,205,2017-11-07 8:57:54,0,11/7/2017 8:57:54,2017-11-07,8,Tue
181182,18,1,13,107,2017-11-07 15:53:01,0,11/7/2017 15:53:01,2017-11-07,15,Tue
7815,3,1,19,442,2017-11-08 10:22:55,0,11/8/2017 10:22:55,2017-11-08,10,Wed
55910,2,1,17,364,2017-11-06 23:25:59,0,11/6/2017 23:25:59,2017-11-06,23,Mon
173196,13,1,23,477,2017-11-07 3:08:10,0,11/7/2017 3:08:10,2017-11-07,3,Tue
332197,12,2,19,135,2017-11-09 14:57:36,0,11/9/2017 14:57:36,2017-11-09,14,Thu
66985,3,1,20,137,2017-11-06 17:48:39,0,11/6/2017 17:48:39,2017-11-06,17,Mon
164865,24,1,10,105,2017-11-07 12:32:38,0,11/7/2017 12:32:38,2017-11-07,12,Tue
54481,9,1,30,232,2017-11-06 22:49:38,0,11/6/2017 22:49:38,2017-11-06,22,Mon
194117,15,1,18,245,2017-11-07 21:24:05,0,11/7/2017 21:24:05,2017-11-07,21,Tue
58556,2,2,22,237,2017-11-07 2:25:55,0,11/7/2017 2:25:55,2017-11-07,2,Tue
235903,26,1,10,121,2017-11-07 17:25:00,0,11/7/2017 17:25:00,2017-11-07,17,Tue
109676,9,1,15,127,2017-11-09 13:42:10,0,11/9/2017 13:42:10,2017-11-09,13,Thu
110095,12,1,19,245,2017-11-07 16:21:34,0,11/7/2017 16:21:34,2017-11-07,16,Tue
91336,3,1,13,280,2017-11-09 4:55:48,0,11/9/2017 4:55:48,2017-11-09,4,Thu
76853,2,1,18,435,2017-11-08 2:16:25,0,11/8/2017 2:16:25,2017-11-08,2,Wed
5509,9,1,19,442,2017-11-09 8:58:05,0,11/9/2017 8:58:05,2017-11-09,8,Thu
33777,27,1,15,122,2017-11-08 11:54:07,0,11/8/2017 11:54:07,2017-11-08,11,Wed
26826,12,1,13,259,2017-11-09 11:47:27,0,11/9/2017 11:47:27,2017-11-09,11,Thu
80560,13,1,22,477,2017-11-09 5:43:49,0,11/9/2017 5:43:49,2017-11-09,5,Thu
96266,8,1,13,145,2017-11-09 10:48:45,0,11/9/2017 10:48:45,2017-11-09,10,Thu
78910,12,1,13,245,2017-11-06 19:26:47,0,11/6/2017 19:26:47,2017-11-06,19,Mon
10265,15,1,9,245,2017-11-07 8:58:45,0,11/7/2017 8:58:45,2017-11-07,8,Tue
23733,2,1,32,219,2017-11-06 17:52:32,0,11/6/2017 17:52:32,2017-11-06,17,Mon
141490,5,1,13,377,2017-11-07 14:39:19,0,11/7/2017 14:39:19,2017-11-07,14,Tue
88541,21,1,25,128,2017-11-06 18:51:40,0,11/6/2017 18:51:40,2017-11-06,18,Mon
92289,9,1,16,258,2017-11-09 12:49:58,0,11/9/2017 12:49:58,2017-11-09,12,Thu
80571,14,1,19,401,2017-11-07 3:54:44,0,11/7/2017 3:54:44,2017-11-07,3,Tue
15218,12,1,6,265,2017-11-08 8:34:05,0,11/8/2017 8:34:05,2017-11-08,8,Wed
67577,26,1,11,266,2017-11-08 9:52:54,0,11/8/2017 9:52:54,2017-11-08,9,Wed
22349,12,1,32,219,2017-11-07 3:42:58,0,11/7/2017 3:42:58,2017-11-07,3,Tue
67409,15,1,6,430,2017-11-09 3:14:27,0,11/9/2017 3:14:27,2017-11-09,3,Thu
39453,3,1,19,280,2017-11-07 8:02:10,0,11/7/2017 8:02:10,2017-11-07,8,Tue
88255,2,1,13,122,2017-11-07 14:01:59,0,11/7/2017 14:01:59,2017-11-07,14,Tue
28272,18,1,19,439,2017-11-09 1:41:16,0,11/9/2017 1:41:16,2017-11-09,1,Thu
71579,3,1,9,130,2017-11-06 17:24:18,0,11/6/2017 17:24:18,2017-11-06,17,Mon
46939,15,1,13,379,2017-11-09 0:58:52,0,11/9/2017 0:58:52,2017-11-09,0,Thu
46740,2,1,9,236,2017-11-08 13:28:37,0,11/8/2017 13:28:37,2017-11-08,13,Wed
146536,23,1,37,153,2017-11-08 13:13:03,0,11/8/2017 13:13:03,2017-11-08,13,Wed
27303,15,1,18,245,2017-11-08 23:36:18,0,11/8/2017 23:36:18,2017-11-08,23,Wed
101445,9,1,4,127,2017-11-09 15:41:07,0,11/9/2017 15:41:07,2017-11-09,15,Thu
30636,12,1,13,265,2017-11-06 22:21:30,0,11/6/2017 22:21:30,2017-11-06,22,Mon
18122,2,1,13,122,2017-11-08 4:48:08,0,11/8/2017 4:48:08,2017-11-08,4,Wed
11448,15,1,25,315,2017-11-07 13:46:35,0,11/7/2017 13:46:35,2017-11-07,13,Tue
109776,15,1,19,140,2017-11-08 11:47:20,0,11/8/2017 11:47:20,2017-11-08,11,Wed
49383,12,1,22,265,2017-11-08 11:04:15,0,11/8/2017 11:04:15,2017-11-08,11,Wed
76503,150,1,10,110,2017-11-07 4:27:36,0,11/7/2017 4:27:36,2017-11-07,4,Tue
170136,2,1,25,237,2017-11-09 4:53:45,0,11/9/2017 4:53:45,2017-11-09,4,Thu
32432,5,1,41,377,2017-11-07 16:08:45,0,11/7/2017 16:08:45,2017-11-07,16,Tue
5178,14,1,18,401,2017-11-08 23:43:29,0,11/8/2017 23:43:29,2017-11-08,23,Wed
16993,15,1,11,245,2017-11-08 6:01:53,0,11/8/2017 6:01:53,2017-11-08,6,Wed
146904,18,1,11,107,2017-11-08 8:44:36,0,11/8/2017 8:44:36,2017-11-08,8,Wed
109735,9,1,6,134,2017-11-09 3:19:10,0,11/9/2017 3:19:10,2017-11-09,3,Thu
212602,95,3032,607,347,2017-11-07 13:49:47,0,11/7/2017 13:49:47,2017-11-07,13,Tue
77048,15,1,19,245,2017-11-07 22:20:57,0,11/7/2017 22:20:57,2017-11-07,22,Tue
77610,17,1,37,134,2017-11-09 2:08:09,0,11/9/2017 2:08:09,2017-11-09,2,Thu
39884,18,1,3,107,2017-11-09 2:30:01,0,11/9/2017 2:30:01,2017-11-09,2,Thu
188452,12,1,13,245,2017-11-08 15:42:34,0,11/8/2017 15:42:34,2017-11-08,15,Wed
103598,3,1,13,280,2017-11-08 7:08:04,0,11/8/2017 7:08:04,2017-11-08,7,Wed
126105,3,1,8,135,2017-11-08 12:17:10,0,11/8/2017 12:17:10,2017-11-08,12,Wed
63408,2,1,3,435,2017-11-08 0:27:38,0,11/8/2017 0:27:38,2017-11-08,0,Wed
100275,1,1,3,115,2017-11-08 16:33:59,0,11/8/2017 16:33:59,2017-11-08,16,Wed
262468,3,1,19,280,2017-11-08 7:39:20,0,11/8/2017 7:39:20,2017-11-08,7,Wed
60191,2,1,19,205,2017-11-09 4:37:12,0,11/9/2017 4:37:12,2017-11-09,4,Thu
201182,3,1,6,489,2017-11-08 3:08:30,0,11/8/2017 3:08:30,2017-11-08,3,Wed
111153,15,1,20,3,2017-11-09 14:36:58,0,11/9/2017 14:36:58,2017-11-09,14,Thu
32453,3,2,9,280,2017-11-08 2:19:07,0,11/8/2017 2:19:07,2017-11-08,2,Wed
27714,3,1,15,173,2017-11-07 14:49:29,0,11/7/2017 14:49:29,2017-11-07,14,Tue
15843,14,1,19,480,2017-11-08 9:31:17,0,11/8/2017 9:31:17,2017-11-08,9,Wed
149535,8,1,25,259,2017-11-07 1:04:29,0,11/7/2017 1:04:29,2017-11-07,1,Tue
45785,105,1,10,282,2017-11-07 2:04:06,0,11/7/2017 2:04:06,2017-11-07,2,Tue
41181,2,1,19,469,2017-11-07 22:04:10,0,11/7/2017 22:04:10,2017-11-07,22,Tue
59426,23,1,19,153,2017-11-08 10:35:34,0,11/8/2017 10:35:34,2017-11-08,10,Wed
56313,2,1,25,469,2017-11-07 9:33:47,0,11/7/2017 9:33:47,2017-11-07,9,Tue
74034,22,1,12,116,2017-11-08 13:32:55,0,11/8/2017 13:32:55,2017-11-08,13,Wed
67628,2,1,13,452,2017-11-07 18:03:38,0,11/7/2017 18:03:38,2017-11-07,18,Tue
18676,11,1,16,487,2017-11-07 8:40:07,0,11/7/2017 8:40:07,2017-11-07,8,Tue
184702,2,1,19,435,2017-11-07 4:13:27,0,11/7/2017 4:13:27,2017-11-07,4,Tue
973,12,1,13,178,2017-11-09 2:35:38,0,11/9/2017 2:35:38,2017-11-09,2,Thu
276450,3,1,41,211,2017-11-08 13:21:23,0,11/8/2017 13:21:23,2017-11-08,13,Wed
102581,2,1,13,212,2017-11-08 8:33:10,0,11/8/2017 8:33:10,2017-11-08,8,Wed
73997,2,1,16,219,2017-11-08 2:39:13,0,11/8/2017 2:39:13,2017-11-08,2,Wed
202464,14,1,9,439,2017-11-06 17:47:11,0,11/6/2017 17:47:11,2017-11-06,17,Mon
91128,9,1,11,145,2017-11-08 11:09:41,0,11/8/2017 11:09:41,2017-11-08,11,Wed
69185,14,1,19,349,2017-11-07 23:34:20,0,11/7/2017 23:34:20,2017-11-07,23,Tue
117651,2,1,13,477,2017-11-07 7:31:17,0,11/7/2017 7:31:17,2017-11-07,7,Tue
119818,3,1,19,280,2017-11-09 0:07:23,0,11/9/2017 0:07:23,2017-11-09,0,Thu
38300,11,1,8,481,2017-11-08 10:44:12,0,11/8/2017 10:44:12,2017-11-08,10,Wed
105475,3,1,13,409,2017-11-09 5:00:20,0,11/9/2017 5:00:20,2017-11-09,5,Thu
178873,12,1,9,424,2017-11-06 16:57:06,0,11/6/2017 16:57:06,2017-11-06,16,Mon
53341,28,1,22,135,2017-11-08 3:01:00,0,11/8/2017 3:01:00,2017-11-08,3,Wed
59847,3,1,8,280,2017-11-08 14:28:36,0,11/8/2017 14:28:36,2017-11-08,14,Wed
61120,21,1,17,128,2017-11-08 23:41:06,0,11/8/2017 23:41:06,2017-11-08,23,Wed
139490,21,1,19,128,2017-11-07 3:38:12,0,11/7/2017 3:38:12,2017-11-07,3,Tue
