ip,distinct_devices,distinct_os,distinct_apps,total_clicks,total_conversions,cvr_percent,masking_flag
16453,2,3,3,3,0,0,Normal
23878,2,2,2,2,0,0,Normal
64054,2,2,3,3,0,0,Normal
31732,2,1,2,2,0,0,Normal
37490,2,2,2,2,0,0,Normal
144604,2,1,2,2,0,0,Normal
49600,2,2,3,3,0,0,Normal
49383,2,4,3,4,0,0,Normal
85329,2,2,2,2,0,0,Normal
14872,2,2,2,2,0,0,Normal
118563,2,2,2,2,0,0,Normal
176799,2,2,2,2,0,0,Normal
41142,2,1,2,2,0,0,Normal
118252,2,2,2,2,0,0,Normal
13104,2,3,3,4,0,0,Normal
65253,2,2,2,2,0,0,Normal
24795,2,2,2,2,0,0,Normal
7373,2,2,2,2,0,0,Normal
116696,2,2,1,2,0,0,Normal
31240,2,2,1,2,0,0,Normal
127081,2,3,3,3,0,0,Normal
80560,2,2,2,2,0,0,Normal
